Name,Assigned Male,Year,Assigned Female,Total
Caine,2.0,1974,,2.0
Calvin,2.0,1974,,2.0
Carlo,2.0,1974,,2.0
Ceri,2.0,1974,2.0,4.0
Chris,2.0,1974,,2.0
Dustin,2.0,1974,,2.0
Claudio,2.0,1974,,2.0
Clint,2.0,1974,,2.0
Connell,2.0,1974,,2.0
Damion,2.0,1974,,2.0
Darin,2.0,1974,,2.0
Dario,2.0,1974,,2.0
Darroch,2.0,1974,,2.0
Deryk,2.0,1974,,2.0
Dirk,2.0,1974,,2.0
Clayton,2.0,1974,,2.0
Norman,54.0,1974,,54.0
Danny,3.0,1974,,3.0
Clarke,3.0,1974,,3.0
Kelvin,6.0,1974,,6.0
Leighton,6.0,1974,,6.0
Marco,6.0,1974,,6.0
Omar,6.0,1974,,6.0
Roddy,6.0,1974,,6.0
Tom,6.0,1974,,6.0
Abdul,5.0,1974,,5.0
Alfred,5.0,1974,,5.0
Alick,5.0,1974,,5.0
Ashley,5.0,1974,47.0,52.0
Bryce,5.0,1974,,5.0
Conrad,5.0,1974,,5.0
Darryl,5.0,1974,,5.0
Eugene,5.0,1974,,5.0
Harold,5.0,1974,,5.0
Harvey,5.0,1974,,5.0
Hector,5.0,1974,,5.0
Jody,5.0,1974,5.0,10.0
Kieran,5.0,1974,,5.0
Jay,6.0,1974,,6.0
Giles,6.0,1974,,6.0
Gilbert,6.0,1974,,6.0
Forbes,6.0,1974,,6.0
Robbie,8.0,1974,,8.0
Roland,8.0,1974,,8.0
Stanley,8.0,1974,,8.0
Aidan,7.0,1974,,7.0
Antonio,7.0,1974,,7.0
Austin,7.0,1974,,7.0
Bradley,7.0,1974,,7.0
Cornelius,7.0,1974,,7.0
Darrin,7.0,1974,,7.0
Kirk,5.0,1974,,5.0
Derrick,7.0,1974,,7.0
Kristian,7.0,1974,3.0,10.0
Lachlan,7.0,1974,,7.0
Mathew,7.0,1974,,7.0
Moray,7.0,1974,,7.0
Nicol,7.0,1974,,7.0
Shane,7.0,1974,3.0,10.0
Tony,7.0,1974,,7.0
Brent,6.0,1974,,6.0
Findlay,6.0,1974,,6.0
Innes,7.0,1974,1.0,8.0
Kris,5.0,1974,,5.0
Marshall,5.0,1974,,5.0
Muhammad,5.0,1974,,5.0
Ronnie,4.0,1974,,4.0
Rowan,4.0,1974,4.0,8.0
Rupert,4.0,1974,,4.0
Spencer,4.0,1974,,4.0
Stephan,4.0,1974,,4.0
Struan,4.0,1974,,4.0
Torquil,4.0,1974,,4.0
Wallace,4.0,1974,,4.0
Aftab,3.0,1974,,3.0
Myles,4.0,1974,,4.0
Alain,3.0,1974,1.0,4.0
Alvin,3.0,1974,,3.0
Anton,3.0,1974,,3.0
Arran,3.0,1974,,3.0
Arron,3.0,1974,,3.0
Austen,3.0,1974,,3.0
Aynsley,3.0,1974,,3.0
Benedict,3.0,1974,,3.0
Chad,3.0,1974,,3.0
Chun,3.0,1974,,3.0
Alec,3.0,1974,,3.0
Damon,3.0,1974,,3.0
Muir,4.0,1974,,4.0
Marvin,4.0,1974,,4.0
Ramsay,5.0,1974,,5.0
Ray,5.0,1974,,5.0
Rodger,5.0,1974,,5.0
Seumas,5.0,1974,,5.0
Tommy,5.0,1974,,5.0
Wai,5.0,1974,2.0,7.0
Alex,4.0,1974,1.0,5.0
Ali,4.0,1974,1.0,5.0
Andrea,4.0,1974,158.0,162.0
Morgan,4.0,1974,,4.0
Archie,4.0,1974,,4.0
Derick,4.0,1974,,4.0
Gideon,4.0,1974,,4.0
Jan,4.0,1974,20.0,24.0
Juan,4.0,1974,,4.0
Kerry,4.0,1974,187.0,191.0
Kieron,4.0,1974,,4.0
Luke,4.0,1974,,4.0
